Timestamp,"Êtes-vous ?
أنت؟","Votre âge ?
كم عمرك؟","Ville de résidence ?
مدينة الإقامة ؟","Region de résidence ?
جهة الإقامة ؟","Quelle est votre classe socioprofessionnelle ?
ما هو فصلك الاجتماعي والمهني ؟","Situation financière ?
الحالة الاقتصادية؟","À quelle fréquence faites-vous des achats en ligne ?
كم مرة تتسوق عبر الإنترنت ؟","Quels types de produits achetez-vous généralement en ligne ?
ما هي أنواع المنتجات التي تشتريها عادةً عبر الإنترنت ؟","Comment payez-vous généralement vos achats en ligne ?
كيف تدفع عادةً مقابل المشتريات عبر الإنترنت ؟","Avez-vous déjà eu une expérience négative lors d'un achat en ligne ?
هل مررت بتجربة سلبية عند التسوق عبر الإنترنت ؟","Si oui, veuillez expliquer 
إذا كان الجواب نعم، يرجى توضيح ذلك","Comment découvrez-vous habituellement les nouveaux sites d'achat en ligne ou les nouveaux produits ?
كيف تكتشف عادةً مواقع أو منتجات التسوق الجديدة عبر الإنترنت ؟","Comparez-vous les prix sur différents sites web avant de faire un achat ?
هل تقارن الأسعار على مواقع الويب المختلفة قبل الشراء ؟","Quelle importance accordez-vous à des facteurs tels que la livraison gratuite, les retours faciles et un bon service clientèle lorsque vous faites des achats en ligne ?
ما مدى أهمية عوامل مثل التوصيل المجاني والعائدات السهلة وخدمة العملاء الجيدة لك عند التسوق عبر الإنترنت ؟","Que pensez-vous de la sécurité des achats en ligne ?
ما هو شعورك حيال أمن التسوق عبر الإنترنت ؟","Prenez-vous des précautions pour protéger vos informations personnelles ?
هل تتخذ أي احتياطات لحماية معلوماتك الشخصية ؟","Si oui, quelles sont les précautions que vous prenez pour protéger vos informations personnelles ?
إذا كان الجواب نعم، ما هي الاحتياطات التي تتخذها لحماية معلوماتك الشخصية ؟","Recommanderiez-vous les achats en ligne à un ami ou à un membre de votre famille ?
هل توصي بالتسوق عبر الإنترنت لصديق أو أحد أفراد العائلة ؟","Comment les achats en ligne se comparent-ils aux achats dans les magasins traditionnels en termes d'expérience d'achat globale pour vous ?
بالنسبة لك كيف يقارن التسوق عبر الإنترنت بالتسوق في المتاجر التقليدية من حيث تجربة التسوق الشاملة  ؟","Pensez-vous que les achats en ligne ont changé la façon dont vous faites vos achats dans les magasins traditionnels ?
هل تعتقد أن التسوق عبر الإنترنت قد غير طريقة تسوقك في المتاجر التقليدية ؟","Êtes-vous satisfait des services d'achat en ligne fournis par les vendeurs marocains par rapport aux vendeurs internationaux ?
هل أنت راضٍ عن خدمات التسوق عبر الإنترنت التي يقدمها البائعون المغاربة مقارنة بالبائعين الدوليين ؟","Comment la pandémie de COVID-19 a-t-elle affecté vos habitudes d'achat en ligne ?
كيف أثرت جائحة كورونا على عاداتك في التسوق عبر الإنترنت ؟","Êtes-vous au courant des nouvelles règles douanières pour les achats en ligne au Maroc ? (DDP)
هل أنت على علم بالقواعد الجمركية الجديدة للتسوق عبر الإنترنت في المغرب ؟"
2023/01/18 2:44:21 am GMT,Homme,22,Errachidia,Drâa-Tafilalet,Etudiant(e),Moyenne,Occasionnellement,Électronique,Carte bancaire,Oui,Livraison très lente et frais supplémentaires.,Moteurs de recherche,Toujours,Très important,Je me sens plutôt en sécurité,Oui,Chercher si le site web ou la plateforme est sécurisé et de confiance,Très probable,Les deux sont à peu près équivalents,Oui,Non,Diminué,Oui
2023/01/18 11:59:14 am GMT,Homme,24,Tinghir ,Drâa-Tafilalet,Etudiant(e),Bonne,Rarement,Vêtements et accessoires;Électronique,Cash on Delivery (COD),Oui,Longtemps pour recevoir ma demande ,Publicité en ligne,Toujours,Très important,Je me sens plutôt en sécurité,Non,,Assez peu probable,Les deux sont à peu près équivalents,Oui,Non,Pas de changement,Oui
2023/01/18 12:01:22 pm GMT,Homme,26,Errachidia ,Drâa-Tafilalet,Etudiant(e),Très faible,Occasionnellement,Vêtements et accessoires;Électronique,PayPal,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Non,Augmenté,Oui
2023/01/18 12:23:45 pm GMT,Femme,21,Tinghir ,Drâa-Tafilalet,Etudiant(e),Moyenne,Rarement,Vêtements et accessoires;Produits de beauté et de soins personnels,Carte bancaire,Non,,Les réseaux sociaux,Rarement,Très important,Je me sens plutôt en sécurité,Non,,Plus ou moins probable,Les achats dans les magasins traditionnels sont légèrement meilleurs,Non,Oui,Pas de changement,Non
2023/01/18 12:25:47 pm GMT,Femme,22,Rabat,Rabat-Salé-Kénitra,Etudiant(e),Moyenne,Rarement,Vêtements et accessoires;Électronique;Produits de beauté et de soins personnels,Carte bancaire,Non,,Les réseaux sociaux,Parfois,Très important,Je me sens plutôt en sécurité,Non,,Plus ou moins probable,Les deux sont à peu près équivalents,Non,Non,Pas de changement,Non
2023/01/18 12:41:57 pm GMT,Femme,21,Errachidia,Drâa-Tafilalet,Etudiant(e),Moyenne,Rarement,Vêtements et accessoires,Virement bancaire (application bancaire),Non,,Moteurs de recherche,Jamais,Très important,Je me sens plutôt en sécurité,Non,,Plus ou moins probable,Les achats dans les magasins traditionnels sont légèrement meilleurs,Non,Oui,Pas de changement,Oui
2023/01/18 12:59:13 pm GMT,Homme,23,casablanca,Casablanca-Settat,Etudiant(e),Bonne,Jamais,J'amais,sans,Non,,Sans,Jamais,Pas du tout important,Je ne me sens pas en sécurité,Oui,,Neutre,Les achats dans les magasins traditionnels sont bien meilleurs,Non,Non,Augmenté,Non
2023/01/18 1:12:07 pm GMT,Femme,21,Rabat,Rabat-Salé-Kénitra,Etudiant(e),Moyenne,Occasionnellement,Vêtements et accessoires,Carte bancaire,Non,,Les réseaux sociaux,Jamais,Très important,Je me sens plutôt en sécurité,Non,,Plus ou moins probable,Les achats dans les magasins traditionnels sont légèrement meilleurs,Non,Non,Pas de changement,Non
2023/01/18 1:31:25 pm GMT,Homme,22,Tinghir,Drâa-Tafilalet,Etudiant(e),Moyenne,Occasionnellement,Vêtements et accessoires;Électronique,PayPal,Non,,Les réseaux sociaux,Parfois,Très important,Je me sens très en sécurité,Non,,Neutre,Les achats en ligne sont bien meilleurs,Oui,Non,Augmenté,Non
2023/01/18 1:48:41 pm GMT,Homme,28,Arfoud,Drâa-Tafilalet,Etudiant(e),Moyenne,Rarement,Vêtements et accessoires;Électronique,Virement bancaire (application bancaire),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Oui,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Pas de changement,Oui
